"text","emotion","polarity","Date"
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"us electionted cruz set to win republican kansas vote","neutral","positive",2016-03-10
"us senator ted cruz victorious in first ofmarchusvote election contests","neutral","negative",2016-03-10
"bbc uk news cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the","joy","positive",2016-03-10
"cruz sets early pace in latest us polls ted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegateswichita kan apted cruz claimed an easy vic","neutral","neutral",2016-03-10
"you dummies voted for him","neutral","positive",2016-03-10
"help","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"help","neutral","positive",2016-03-10
"check this out","neutral","positive",2016-03-10
"cruz victorious in first of five saturday election contests washingtonus senator ted cruz struck first in","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washingtonus senator ted cruz struck first in","neutral","negative",2016-03-10
"cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"you dummies are voting for him","neutral","positive",2016-03-10
"bangkok postcruz victorious in first of five saturday election contests washingtonus senator ted cruz s","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck fir","neutral","negative",2016-03-10
"dunyanews cruz victorious in first of five saturday election contests washington afpus senator ted cruz","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck fir","neutral","negative",2016-03-10
"pakistan dunya cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck first in","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator tedpakistan news","neutral","negative",2016-03-10
"pakistannews cruz victorious in first of five saturday election contests washington afpus senator ted","neutral","negative",2016-03-10
"cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz cltcot tlot gop","neutral","negative",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruz defeated donal","neutral","positive",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruz defeated donal","neutral","positive",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruz defeated donal","neutral","positive",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruzbreakingnews","neutral","positive",2016-03-10
"bbc top stories gt cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump","surprise","positive",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimed anspbnews","neutral","negative",2016-03-10
"youdontsay cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz cl","neutral","negative",2016-03-10
"ap cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimed an eas","neutral","negative",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimbreakingnews","neutral","negative",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted c","neutral","negative",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimed an easy vic","neutral","neutral",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimltfull story","neutral","negative",2016-03-10
"news update cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump th","joy","positive",2016-03-10
"cruz victorious in first ofmarchelection contests 
washington dc usaus senator ted cruz struck firs","neutral","neutral",2016-03-10
"cruz sets early pace in latest us polls ted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"us electionted cruz set to win republican kansas vote","neutral","positive",2016-03-10
"bbc cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas re","joy","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"us electionted cruz wins kansas as presidential hopefuls do battle in five statesnewslytweet","neutral","negative",2016-03-10
"breaking ted cruz is the projected winner of kansas gop caucusdecision supersaturday","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"you live in ks and you think ted cruz should be president

kscaucus for rwnjs","joy","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck first in","neutral","negative",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"us electionted cruz wins kansas as presidential hopefuls do battle in five statesind","neutral","negative",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"cruz wins kansas in gop battle for delegateswichita kan apted cruz claimed the first prize in saturda","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"cruz wins kansas in gop battle for delegates wichita kan apted cruz claimed the first prize in saturda","neutral","neutral",2016-03-10
"cruz victorious in first of five saturday election contests us senator ted cruz struck first in the series of","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests us senator ted cruz struck first in the series of","neutral","negative",2016-03-10
"ted cruz takes big early kansas winfollow super saturday live","joy","positive",2016-03-10
"ted cruz takes big early kansas winfollow super saturday live","joy","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"cruz victorious in first of five saturday election contests us senator ted cruz struck first in the series","neutral","negative",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"cruz wins kansas in gop battle for delegateswichita kan apted cruz claimed the first prize in saturda","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"us electionted cruz is in kansas in the front","neutral","positive",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz races to early win with republicans trying to stop donald trump in five states","neutral","neutral",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"cruz victorious in first of five saturday election contests us senator ted cruz struck first in the series of","neutral","negative",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"republican candidate cruz winscpac straw pollwashington reutersus senator ted cruz of texas bea","surprise","positive",2016-03-10
"money pouring in on ted cruz we haslast week","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"republican candidate cruz winscpac straw pollwashington reutersus senator ted cruz of texas bea","surprise","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins republican presidential caucuses in kansas by the associated press via nyt","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins republican presidential caucuses in kansas by the associated press via nyt","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"breaking news ted cruz wins kansas republican caucusesus media projectionsmore","neutral","positive",2016-03-10
"bbcbreaking ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"money pouring in on ted cruz we haslast week","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"republican candidate cruz winscpac straw pollwashington reutersus senator ted cruz of texas bea","surprise","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"ted cruz won from kensas withvotes
bbc newsus electiontrump and clinton look to cement leads","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"wesh breaking newsted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"rt bbcbreaking ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"a resounding win for ted cruz in kansas see other state results here","neutral","positive",2016-03-10
"kansas polls are in st place ted cruzvotesnd place donald trumpvotesrd place marco","neutral","positive",2016-03-09
"kansas polls are in st place ted cruzvotesnd place donald trumpvotesrd place marco","neutral","positive",2016-03-09
"yup proudly marcothe one who can actually beat hillary in a general election","joy","neutral",2016-03-09
"i will supportfor president puerto ricos super sunday marcomentum","neutral","positive",2016-03-09
"this election is about the future thats why im endorsing marco rubio for president","neutral","negative",2016-03-09
"this election is about the future thats why im endorsing marco rubio for president 
 politics","neutral","negative",2016-03-09
"this election is about the future thats why im endorsing marco rubio for president","neutral","negative",2016-03-09
"watch this video we dont need sore losers like this as a president","anger","negative",2016-03-09
"election update orlando sentinel endorses florida sen marco rubio for president calls him gops last best","neutral","negative",2016-03-09
"no u prefer the coronation of marco rubio or cruz not the election of a president based upon the will of the people","joy","neutral",2016-03-09
"this election is about the future thats why im endorsing marco rubio for president 
 politics","neutral","negative",2016-03-09
"dammitdonald trump all but admits he ran for president to spite buzzfeed","anger","neutral",2016-03-09
"dammitdonald trump all but admits he ran for president to spite buzzfeed","anger","neutral",2016-03-09
"dammitdonald trump all but admits he ran for president to spite buzzfeed","anger","neutral",2016-03-09
"dammitdonald trump all but admits he ran for president to spite buzzfeed","anger","neutral",2016-03-09
"i liked avideomarco we must get this election rightmarco rubio for president","sadness","negative",2016-03-09
"marco we must get this election rightmarco rubio for president","sadness","negative",2016-03-09
"marco we must get this election rightmarco rubio for president","sadness","negative",2016-03-09
"i liked avideomarco we must get this election rightmarco rubio for president","sadness","negative",2016-03-09
"marco we must get this election rightmarco rubio for president","sadness","negative",2016-03-09
"most interesting moments of the gop debate","neutral","neutral",2016-03-09
"most interesting moments of the gop debate","neutral","neutral",2016-03-09
"most interesting moments of the gop debate","neutral","neutral",2016-03-09
"top moments gop debate rubio amp trump reengage kasich bucks romneymegyn kelly amp trump make nice","surprise","positive",2016-03-09
"most interesting moments of the gop debate","neutral","neutral",2016-03-09
"most interesting moments of the gop debate","neutral","neutral",2016-03-09
"what will be in the donald j trump presidential library","neutral","positive",2016-03-09
"most interesting moments of the republicandebate","neutral","positive",2016-03-09
"most interesting moments of the republicandebate","neutral","positive",2016-03-09
"politicomost interesting moments of the gop debateenergyunion","neutral","positive",2016-03-09
"most interesting moments of the republicandebate","neutral","positive",2016-03-09
"novicesmost interesting moments of the gop debate
donald trump is the undisputed frontrunner for the gop","neutral","positive",2016-03-09
"trump under siegefrontrunner faces relentless attacks from rivals and fox news hosts","neutral","neutral",2016-03-09
"trump under siegefrontrunner faces relentless attacks from rivals and fox news hosts","neutral","neutral",2016-03-09
"trump under siegefrontrunner faces relentless attacks from rivals and fox news hosts","neutral","neutral",2016-03-09
"novicestrump under siege 

ted cruz and marco rubio teamed up in a lastditch attempt to knock down donald tru","neutral","negative",2016-03-09
"fox news makes massive announcement aboutelection","neutral","positive",2016-03-09
"marco we must get this election rightmarco rubio for president","sadness","negative",2016-03-09
"mens marco rubio for president shirtelection tshirt small baby blue h","sadness","positive",2016-03-09
"marco rubio knows this election is about the american dreammarco rubio for president","neutral","negative",2016-03-09
"republican trumpvoter is challenging the eligibility of rubio amp cruz to run for president
lolnevertrump 
http","neutral","negative",2016-03-09
"republican trumpvoter is challenging the eligibility of rubio amp cruz to run for president
lolnevertrump","neutral","negative",2016-03-09
"who supported donald trump ted cruz amp marco rubioarticle by ssrs presidentsupe","neutral","positive",2016-03-09
"who supported donald trump ted cruz amp marco rubioarticle by ssrs presidentsupertuesday election","neutral","neutral",2016-03-09
"fox news makes massive announcement aboutelection","neutral","positive",2016-03-09
"fox news makes massive announcement aboutelection","neutral","positive",2016-03-09
"fox news makes massive announcement aboutelection","neutral","positive",2016-03-09
"poll cnnorcgeneral election president marco rubio rhillary clinton drubio hillary","neutral","negative",2016-03-09
"poll cnnorcgeneral election president marco rubio rhillary clinton d","neutral","negative",2016-03-09
"poll cnnorcgeneral election president marco rubio rhillary clinton dmarcorubio hillaryclinton","neutral","negative",2016-03-09
"of america voted against marco rubio on supertuesday","neutral","positive",2016-03-09
"just a canadian here asking a questiondoes usa want this guy as president rubio","neutral","positive",2016-03-09
"video marco rubio supertuesday election night speech","neutral","negative",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"marco will one day be president but not in an election where they can hammer him on gangof","neutral","neutral",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"the greatest thing about this election is that marco rubio wont be president or a senator anymore in z","neutral","neutral",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"wooooooooow conservative solutions pac with an anti trump marco rubio for president ad this election is wild","neutral","negative",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
"breaking marco rubio has won the minnesota republican caucuses","neutral","positive",2016-03-09
